"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"BRACHYPTERA SP.",108
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"CHELIFERA SP.",12
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"CHIRONOMIDAE GEN. SP.",752
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"DIXA SP.",4
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"ELMIS MAUGETII",4
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"GALBA TRUNCATULA",8
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"ISOPERLA TRIPARTITA TRIPARTITA",248
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"MICROPTERNA NYCTEROBIA",36
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"MICROPTERNA SEQUAX",24
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"NEMATODA GEN. SP.",16
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"NEMOURIDAE GEN. SP.",117
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"OLIGOCHAETA GEN. SP.",196
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"OXYCERA SP.",4
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"PEDICIA SP.",8
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"PISIDIUM SP.",44
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"PLECTROCNEMIA CONSPERSA CONSPERSA",5
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"POTAMOPHYLAX CINGULATUS CINGULATUS",8
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"PROSIMULIUM TOMOSVARYI",600
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"PSYCHODIDAE GEN. SP.",28
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"SIPHLONURUS AESTIVALIS",1
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"SYNAGAPETUS MOSELYI",112
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-03.04.2002","03.04.2002",2002,4,3,"TIPULA MAXIMA",4
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"BAETIS RHODANI",232
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"BRACHYPTERA SP.",17
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"CERATOPOGONIDAE GEN. SP.",20
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"CHELIFERA SP.",6
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"CHIRONOMIDAE GEN. SP.",338
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"DICRANOTA SP.",40
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"ELECTROGENA UJHELYII",10
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"ELMIS MAUGETII",2
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"ELODES SP.",2
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"GAMMARUS FOSSARUM",1210
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"GAMMARUS ROESELII",2
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"HYDROPSYCHE SAXONICA",3
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"LIMNOPHILA SP.",6
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"MICROPTERNA NYCTEROBIA",4
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"MICROPTERNA SEQUAX",4
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"NEMOURIDAE GEN. SP.",17
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"PISIDIUM SP.",14
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"PLECTROCNEMIA CONSPERSA CONSPERSA",2
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"POTAMOPHYLAX CINGULATUS CINGULATUS",2
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"PROSIMULIUM TOMOSVARYI",2
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"PSYCHODIDAE GEN. SP.",6
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"SERICOSTOMA SP.",6
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-01.04.2003","01.04.2003",2003,4,1,"SYNAGAPETUS MOSELYI",10
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"BAETIS RHODANI",8
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"BRACHYPTERA SP.",142
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"CERATOPOGONIDAE GEN. SP.",48
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"CHELIFERA SP.",8
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"CHIRONOMIDAE GEN. SP.",648
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"DICRANOTA SP.",16
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"ELODES SP.",8
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"ELOEOPHILA SP.",8
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"GAMMARUS FOSSARUM",280
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"HYDRACHNIDAE GEN. SP.",8
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"HYDRAENA SP.",25
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"ISOPERLA TRIPARTITA TRIPARTITA",30
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"MICROPTERNA NYCTEROBIA",42
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"NEMOURIDAE GEN. SP.",48
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"NIPHARGUS AQUILEX",16
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"OLIGOCHAETA GEN. SP.",91
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"PISIDIUM SP.",56
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"PLECTROCNEMIA CONSPERSA CONSPERSA",127
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"PROSIMULIUM TOMOSVARYI",101
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"PSYCHODIDAE GEN. SP.",8
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"SIPHLONURUS AESTIVALIS",69
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"SYNAGAPETUS MOSELYI",1
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"TIPULA MAXIMA",8
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-05.04.2005","05.04.2005",2005,4,5,"ZWICKNIA BIFRONS",17
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"AGAPETUS FUSCIPES",49
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"BAETIS MUTICUS",2
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"BAETIS RHODANI",299
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"BRACHYPTERA SP.",1
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"BYTHINELLA AUSTRIACA AUSTRIACA",92
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"CERATOPOGONIDAE GEN. SP.",30
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"CHAETOPTERYX MAJOR",3
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"CHELIFERA SP.",27
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"CHIRONOMIDAE GEN. SP.",7989
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"CLINOCERA SP.",1
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"DICRANOTA SP.",18
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"DUGESIA GONOCEPHALA",57
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"DUGESIA POLYCHROA",3
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"ELECTROGENA UJHELYII",77
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"ELMIS MAUGETII",322
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"ELODES SP.",4
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"ELOEOPHILA SP.",13
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"ERPOBDELLA VILNENSIS",2
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"GAMMARUS FOSSARUM",2709
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"HABROLEPTOIDES CONFUSA",5
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"HALESUS DIGITATUS DIGITATUS",5
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"HEMERODROMIA SP.",5
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"HYDRAENA SP.",131
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"HYDROPSYCHE INSTABILIS",2
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"HYDROPSYCHE SAXONICA",84
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"ISOPERLA TRIPARTITA TRIPARTITA",41
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"LIMNEPHILINAE GEN. SP.",64
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"LIMNIUS VOLCKMARI",1
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"LYPE REDUCTA",1
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"NEMOURIDAE GEN. SP.",2
"CZE_010_MZB_LO_1","CZE_010_MZB_LO_1-25.04.2012","25.04.2012",2012,4,25,"NEOLIMNOMYIA SP.",2
