"Unique.ID","Samp.ID","Sampling.date","year","month","day","ACROLOXIDAE GEN. SP.","AESHNIDAE GEN. SP.","AGRIOTYPINAE GEN. SP.","AMELETUS SP.","AMETROPUS SP.","AMPHIPODA GEN. SP.","ANISOPTERA GEN. SP.","ANTHOMYIIDAE GEN. SP.","APATANIA SP.","APATANIINAE GEN. SP.","APHELOCHEIRIDAE GEN. SP.","ARGULUS SP.","ASELLIDAE GEN. SP.","ASTACIDAE GEN. SP.","ATHERICIDAE GEN. SP.","ATYIDAE GEN. SP.","BAETIDAE GEN. SP.","BERAEIDAE GEN. SP.","BITHYNIIDAE GEN. SP.","BIVALVIA GEN. SP.","BLEPHARICERIDAE GEN. SP.","BRACHYCENTRIDAE GEN. SP.","BRANCHIOBDELLIDAE GEN. SP.","BRYOZOA GEN. SP.","CAENIDAE GEN. SP.","CALAMOCERAS SP.","CALOPTERYGIDAE GEN. SP.","CAMBARIDAE GEN. SP.","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHAOBORIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","CHRYSOMELIDAE GEN. SP.","CLAVIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CONCHOSTRACA GEN. SP.","CORBICULIDAE GEN. SP.","CORDULEGASTRIDAE GEN. SP.","CORDULIIDAE GEN. SP.","CORIXIDAE GEN. SP.","COROPHIIDAE GEN. SP.","CRAMBIDAE GEN. SP.","CRANGONYX SP.","CRISTATELLIDAE GEN. SP.","CRUSTACEA GEN. SP.","CULICIDAE GEN. SP.","CURCULIONIDAE GEN. SP.","CYLINDROTOMIDAE GEN. SP.","DECAPODA GEN. SP.","DENDROCOELIDAE GEN. SP.","DICRANOTA SP.","DIPTERA GEN. SP.","DIXIDAE GEN. SP.","DOLICHOPODIDAE GEN. SP.","DREISSENIDAE GEN. SP.","DRYOPIDAE GEN. SP.","DUGESIIDAE GEN. SP.","DYTISCIDAE GEN. SP.","ECNOMUS SP.","ELMIDAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERELLIDAE GEN. SP.","EPHEMERIDAE GEN. SP.","EPHEMEROPTERA GEN. SP.","EPHYDRIDAE GEN. SP.","ERPOBDELLIDAE GEN. SP.","FREDERICELLIDAE GEN. SP.","GAMMARIDAE GEN. SP.","GAMMAROIDEA GEN. SP.","GASTROPODA GEN. SP.","GERRIDAE GEN. SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GOMPHIDAE GEN. SP.","GORDIIDAE GEN. SP.","GYRINIDAE GEN. SP.","HAEMOPIS SP.","HALIPLIDAE GEN. SP.","HELOPHORUS SP.","HEPTAGENIIDAE GEN. SP.","HETEROMEYENIA SP.","HIRUDINEA GEN. SP.","HYDRACHNIDIA GEN. SP.","HYDRAENIDAE GEN. SP.","HYDRIDAE GEN. SP.","HYDROBIIDAE GEN. SP.","HYDROCHUS SP.","HYDROMETRIDAE GEN. SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHIDAE GEN. SP.","HYDROPTILIDAE GEN. SP.","HYDROSCAPHA SP.","HYDROZOA GEN. SP.","HYGROBIIDAE GEN. SP.","HYPANIA SP.","ISONYCHIA SP.","ISOPODA GEN. SP.","LEPIDOPTERA GEN. SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LESTIDAE GEN. SP.","LEUCTRIDAE GEN. SP.","LIBELLULIDAE GEN. SP.","LIMNADIIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMNOPHORA SP.","LIMONIIDAE GEN. SP.","LISPE SP.","LYMNAEIDAE GEN. SP.","MACROMIIDEA GEN. SP.","MARGARITIFERA SP.","MERMITHIDAE GEN. SP.","MESOVELIIDAE GEN. SP.","MOLANNIDAE GEN. SP.","MOLLUSCA GEN. SP.","MYSIDAE GEN. SP.","NAUCORIDAE GEN. SP.","NEMATODA GEN. SP.","NEMATOMORPHA GEN. SP.","NEMERTEA GEN. SP.","NEMOURIDAE GEN. SP.","NEPIDAE GEN. SP.","NERITIDAE GEN. SP.","NOTERUS SP.","NOTONECTIDAE GEN. SP.","NOTOSTRACA GEN. SP.","ODONATA GEN. SP.","ODONTOCERIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","OLIGONEURIIDAE GEN. SP.","ORCHESTIA SP.","OSMYLIDAE GEN. SP.","PALUDICELLIDAE GEN. SP.","PECTINATELLA SP.","PEDICIA SP.","PERLIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMIDAE GEN. SP.","PHRYGANEIDAE GEN. SP.","PHYSIDAE GEN. SP.","PISCICOLIDAE GEN. SP.","PLANARIIDAE GEN. SP.","PLANIPENNIA GEN. SP.","PLANORBIDAE GEN. SP.","PLATYCNEMIDIDAE GEN. SP.","PLECOPTERA GEN. SP.","PLEIDAE GEN. SP.","PLUMATELLIDAE GEN. SP.","POLYCENTROPODIDAE GEN. SP.","POLYMITARCYIDAE GEN. SP.","PORIFERA GEN. SP.","POTAMANTHIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","PTILOCOLEPUS SP.","PTYCHOPTERIDAE GEN. SP.","RHAGIONIDAE GEN. SP.","RHYACOPHILIDAE GEN. SP.","SCATOPHAGIDAE GEN. SP.","SCIOMYZIDAE GEN. SP.","SCIRTIDAE GEN. SP.","SERICOSTOMATIDAE GEN. SP.","SIALIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SISYRIDAE GEN. SP.","SPHAERIIDAE GEN. SP.","SPONGILLIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","SUCCINEIDAE GEN. SP.","SYRPHIDAE GEN. SP.","TABANIDAE GEN. SP.","TAENIOPTERYGIDAE GEN. SP.","TETRASTEMMATIDAE GEN. SP.","THAUMALEIDAE GEN. SP.","THREMMA SP.","TIPULIDAE GEN. SP.","TRICHOPTERA GEN. SP.","TRICLADIDA GEN. SP.","TRICYPHONA SP.","TRIOPS SP.","TURBELLARIA GEN. SP.","UNIONIDAE GEN. SP.","URNATELLA GRACILIS","VALVATIDAE GEN. SP.","VELIIDAE GEN. SP.","VIVIPARIDAE GEN. SP.","ZYGOPTERA GEN. SP."
"FRA_046_MZB_LO_100","FRA_046_MZB_LO_100-01.08.2007","01.08.2007",2007,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,233,0,0,0,25,8,0,0,0,0,0,0,0,1,0,472,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,171,0,54,17,0,0,0,0,12,0,0,0,0,34,5,0,0,0,0,0,0,29,0,0,3,45,0,0,0,0,0,42,0,0,0,0,0,0,0,0,25,0,67,0,61,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,187,0,0,0,0,0,0,14,9,9,0,1,0,23,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,8,51,0,513,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA_046_MZB_LO_100","FRA_046_MZB_LO_100-12.08.2008","12.08.2008",2008,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,97,0,0,0,9,261,0,0,0,0,0,0,0,1,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,164,0,65,5,0,0,0,0,40,0,0,0,0,31,10,0,0,0,0,0,0,22,0,0,3,38,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,1,65,0,156,0,0,39,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,4,64,0,0,0,0,0,0,54,7,11,0,0,0,8,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2,55,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA_046_MZB_LO_100","FRA_046_MZB_LO_100-07.07.2009","07.07.2009",2009,7,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,313,0,0,0,18,193,0,0,0,0,0,0,0,5,0,154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,250,1,124,3,0,0,1,0,21,0,0,0,0,41,12,0,0,0,0,0,0,18,0,0,3,84,0,0,0,0,0,62,0,0,0,0,0,0,0,0,3,0,107,0,45,0,0,63,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,140,0,0,0,0,0,0,43,1,19,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,32,86,0,372,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"FRA_046_MZB_LO_100","FRA_046_MZB_LO_100-29.08.2011","29.08.2011",2011,8,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,0,54,0,0,0,1,65,0,0,0,0,69,0,0,5,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,194,0,9,19,0,0,1,0,6,0,0,0,0,3,17,0,0,0,0,0,0,22,0,0,3,98,0,0,0,0,0,120,0,0,0,0,0,0,0,0,65,34,30,0,17,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,9,307,0,0,0,0,0,0,43,6,4,0,0,0,10,0,31,0,0,0,0,2,0,0,0,2,0,0,0,0,6,0,0,9,97,1,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA_046_MZB_LO_100","FRA_046_MZB_LO_100-03.09.2012","03.09.2012",2012,9,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,85,0,0,0,0,206,0,0,0,0,4,0,0,17,0,314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,392,1,28,76,0,0,0,0,50,0,0,1,0,4,5,0,0,0,0,0,0,45,0,0,3,120,0,0,0,0,0,78,0,0,0,0,0,0,0,0,85,160,40,0,66,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,8,116,0,0,0,0,0,0,35,12,5,0,0,0,32,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,17,0,0,7,30,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA_046_MZB_LO_100","FRA_046_MZB_LO_100-05.08.2013","05.08.2013",2013,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,190,0,0,0,189,46,0,0,0,0,0,0,0,14,0,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,131,2,68,7,0,0,0,0,28,0,0,0,0,76,51,0,0,0,0,0,0,10,0,0,3,58,0,3,0,0,0,21,0,0,0,0,0,0,0,0,12,0,47,0,12,0,0,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,45,0,0,0,0,0,0,5,0,1,0,0,0,117,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,29,108,0,366,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FRA_046_MZB_LO_100","FRA_046_MZB_LO_100-29.07.2015","29.07.2015",2015,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,71,0,0,0,4,41,0,0,0,0,75,0,0,6,0,427,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,279,0,68,25,0,0,0,0,7,0,0,0,0,21,5,0,0,0,0,1,0,17,0,0,3,51,0,0,0,0,0,42,0,0,0,0,0,0,0,0,17,55,169,0,96,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,111,0,0,0,0,0,0,66,1,5,0,0,0,21,0,18,0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,0,3,18,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA_046_MZB_LO_100","FRA_046_MZB_LO_100-26.07.2017","26.07.2017",2017,7,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,50,0,213,0,0,0,3,116,0,0,0,0,16,0,0,17,0,312,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,498,3,39,16,0,0,1,0,1,0,0,0,2,37,56,0,0,0,0,0,0,13,0,0,3,114,1,3,0,0,0,96,0,0,0,0,0,0,0,0,20,9,26,0,21,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,154,0,0,0,0,0,0,12,0,1,0,1,0,18,0,44,0,0,0,0,2,0,0,0,1,0,0,0,0,13,0,0,31,139,2,122,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA_046_MZB_LO_101","FRA_046_MZB_LO_101-09.08.2007","09.08.2007",2007,8,9,0,0,0,0,0,0,0,1,0,0,0,0,8,0,2,0,115,2,0,0,11,7,0,0,29,0,1,0,0,8,0,65,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,53,0,32,12,0,0,0,0,175,0,0,0,0,0,2,0,0,0,0,0,0,25,0,0,3,13,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,15,18,0,173,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,18,0,0,0,0,1,120,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FRA_046_MZB_LO_101","FRA_046_MZB_LO_101-07.07.2009","07.07.2009",2009,7,7,0,0,0,0,0,0,0,0,0,0,0,0,23,2,2,0,16,0,0,0,9,0,0,0,58,0,0,0,0,11,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,147,0,167,35,0,0,1,0,610,0,0,0,5,3,1,0,0,0,0,0,0,18,0,0,3,25,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,141,0,217,0,0,11,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,40,0,0,1,3,4,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
