"Unique.ID","Samp.ID","Sampling.date","year","month","day","APHELOCHEIRIDAE GEN. SP.","AQUARIUS NAJAS","ASELLIDAE GEN. SP.","ATHERICIDAE GEN. SP.","BAETIDAE GEN. SP.","BRACHYCENTRIDAE GEN. SP.","CAENIDAE GEN. SP.","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","CORDULEGASTRIDAE GEN. SP.","CRANGONYCTIDAE GEN. SP.","DENDROCOELIDAE GEN. SP.","DIXIDAE GEN. SP.","DUGESIIDAE GEN. SP.","DYTISCIDAE GEN. SP.","ELMIDAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERELLIDAE GEN. SP.","EPHEMERIDAE GEN. SP.","EPHYDRIDAE GEN. SP.","ERPOBDELLIDAE GEN. SP.","GAMMARIDAE GEN. SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GYRINIDAE GEN. SP.","HELOPHORUS SP.","HEPTAGENIIDAE GEN. SP.","HYDRACHNIDIA GEN. SP.","HYDRAENIDAE GEN. SP.","HYDROBIIDAE GEN. SP.","HYDROMETRIDAE GEN. SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHIDAE GEN. SP.","HYDROPTILIDAE GEN. SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MUSCIDAE GEN. SP.","NEMATOCERA GEN. SP.","NEMATODA GEN. SP.","NEMOURIDAE GEN. SP.","ODONTOCERIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","PEDICIIDAE GEN. SP.","PERLIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMIDAE GEN. SP.","PISCICOLA SP.","PLANARIIDAE GEN. SP.","PLANORBIDAE GEN. SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","RHAGIONIDAE GEN. SP.","RHYACOPHILIDAE GEN. SP.","SCIRTIDAE GEN. SP.","SERICOSTOMATIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SPHAERIIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","TABANIDAE GEN. SP.","TAENIOPTERYGIDAE GEN. SP.","TIPULIDAE GEN. SP.","TRICLADIDA GEN. SP.","VELIIDAE GEN. SP."
"WAL_041_MZB_LO_3444","WAL_041_MZB_LO_3444-13.04.1995","13.04.1995",1995,4,13,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,0,0,3,0,0,3,3,0,0,0,3,3,0,3,33,0,0,0,33,3,0,0
"WAL_041_MZB_LO_3444","WAL_041_MZB_LO_3444-16.05.2000","16.05.2000",2000,5,16,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,7,0,0,1,1,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0
"WAL_041_MZB_LO_3444","WAL_041_MZB_LO_3444-11.04.2002","11.04.2002",2002,4,11,0,0,0,2,299,0,0,0,0,93,24,0,0,0,0,0,0,32,17,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,41,0,3,5,0,154,52,0,0,0,0,2,1,0,73,1,0,2,1,0,1,0,0,1,0,0,2,0,1,141,0,0,0,12,0,0,0
"WAL_041_MZB_LO_3444","WAL_041_MZB_LO_3444-10.04.2003","10.04.2003",2003,4,10,0,0,0,6,245,0,0,0,0,27,39,0,0,0,0,0,0,51,11,0,0,0,2,0,0,0,0,0,1,25,1,3,0,0,0,170,0,88,0,0,217,37,0,0,0,0,0,3,1,43,0,0,11,1,0,0,0,0,0,0,0,14,0,5,37,0,0,0,13,1,0,0
"WAL_041_MZB_LO_3444","WAL_041_MZB_LO_3444-15.04.2004","15.04.2004",2004,4,15,0,0,0,24,680,0,0,0,1,120,92,0,0,0,0,0,0,52,192,0,0,0,12,0,0,0,1,0,0,28,12,16,0,0,0,296,0,140,8,0,540,8,4,0,4,0,0,4,1,256,0,0,12,0,0,0,4,0,24,0,0,20,0,32,32,0,0,0,4,1,0,1
"WAL_041_MZB_LO_3444","WAL_041_MZB_LO_3444-11.04.2005","11.04.2005",2005,4,11,0,0,0,11,157,0,0,0,1,50,18,0,0,0,0,0,0,5,21,0,0,0,3,0,0,0,1,0,0,2,0,3,0,0,0,24,0,15,0,0,97,6,0,0,0,0,1,2,0,87,0,0,0,0,0,0,0,0,1,0,0,3,1,3,23,1,0,0,8,1,3,0
"WAL_041_MZB_LO_3444","WAL_041_MZB_LO_3444-27.04.2006","27.04.2006",2006,4,27,0,0,0,17,548,0,25,0,3,52,53,2,0,0,0,0,0,182,264,1,0,0,9,0,0,1,5,0,0,30,8,36,0,0,0,193,0,217,5,0,136,2,0,0,1,0,10,8,2,173,1,0,13,1,0,1,2,0,6,0,0,5,2,44,44,1,0,0,19,3,0,1
"WAL_041_MZB_LO_3444","WAL_041_MZB_LO_3444-27.04.2007","27.04.2007",2007,4,27,0,0,0,7,38,0,8,0,0,48,20,1,0,0,0,0,1,50,10,9,0,0,0,0,0,0,3,0,0,14,3,2,0,1,0,41,0,15,1,0,31,2,0,0,0,0,0,0,0,22,1,0,5,0,0,0,0,0,0,0,0,4,4,5,22,0,0,1,8,0,0,0
"WAL_041_MZB_LO_3444","WAL_041_MZB_LO_3444-15.04.2008","15.04.2008",2008,4,15,0,0,0,5,133,0,3,0,0,91,16,0,0,0,0,0,0,86,23,0,0,0,0,0,0,1,7,0,0,82,4,5,0,0,0,40,0,51,0,0,96,0,0,0,0,0,3,13,0,93,0,0,8,0,0,0,1,0,0,0,0,5,20,2,7,1,0,0,5,0,0,0
"WAL_041_MZB_LO_3444","WAL_041_MZB_LO_3444-23.03.2010","23.03.2010",2010,3,23,0,0,0,0,30,0,0,0,0,20,15,0,0,0,0,0,0,19,1,0,0,0,0,0,0,1,12,3,0,30,3,1,0,0,0,15,0,1,0,0,40,12,0,0,0,0,0,22,0,20,1,0,8,1,0,0,0,0,0,0,0,10,0,7,15,0,0,0,20,0,0,0
