"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"AMETROPUS SP.",4
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"APHELOCHEIRUS AESTIVALIS",3
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"ASELLUS AQUATICUS",22
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"BAETIDAE GEN. SP.",33
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"BRACHYCENTRUS SP.",40
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"CALOPTERYX SP.",8
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"CALOPTERYX SPLENDENS",8
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"CHIRONOMIDAE GEN. SP.",59
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"COROPHIIDAE GEN. SP.",31
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"DYTISCIDAE GEN. SP.",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"ELMIDAE GEN. SP.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"EPHEMERA SP.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"ERPOBDELLA OCTOCULATA",25
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"GAMMARUS SP.",66
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"GOMPHUS SP.",3
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"GYRINIDAE GEN. SP.",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"HEPTAGENIA SP.",29
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"HYDROPSYCHIDAE GEN. SP.",43
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"LIMNEPHILIDAE GEN. SP.",4
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"LYMNAEA SP.",5
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"NEMOURA SP.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"OLIGOCHAETA GEN. SP.",17
